id,sub_category_id,title,price,language,size,pages,date,isbn,description,issue_number,product_image_url
11,3,NIVEA,14000,KOREAN,170 x 240 mm,145,2012-05-03,978-89-98415-05-1,"니베아는 독일 바이어스도르프의 세계적인 스킨로션과 바디케어 브랜드이다. 니베아는 1911년, 바이어스도르프가 최초의 스킨크림인 W/O 유화제를 개발했을 때 시작되었다. 창시자인 오스카 트로플로비츠는 이를 니베아라 이름지었는데, 이는 백설공주를 의미하는 라틴어 단어에서 따온것이다.",6,https://dummyimage.com/1920x1440/001440/fff
12,3,GILLETTE,17000,KOREAN,170 x 240 mm,179,2013-07-23,979-11-6036-034-9,"질레트는 미국의 글로벌 면도기 메이커이다. 질레트 브랜드는 1901년 킹 C. 질레트(King Camp Gillette)가 제조한 안전면도기에서 유래한다. 그 후 더 질레트 컴퍼니(The Gillette Company)가 설립되어 면도날과 면도기의 대명사로 널리 알려졌었다. 더 질레트 컴퍼니는 생활·가전용품의 브라운, 건전지의 듀라셀, 구강제품의 오랄비 등을 인수하여 자회사로 두다가, 2005년 10월 1일 P&G에 인수되어 현재 P&G의 산하 브랜드로 되어 있다. 다만 듀라셀은 2015년에 P&G가 버크셔 해서웨이에 다시 매각했다.",64,https://dummyimage.com/1920x1440/001440/fff
13,3,LUSH,13000,KOREAN,170 x 240 mm,132,2012-05-03,978-89-98415-05-1,"1994년 영국에서 탄생한 핸드메이드 코스메틱 브랜드 러쉬는 과일과 식물 등 신선한 자연 성분을 원료로 사용하며, 시장이나 식료품점에서 볼 법한 판매 방식을 매장에 적용해 장을 보는 듯한 재미를 제공하고 있습니다. 러쉬는 자연주의를 콘셉트로 하는 일반 브랜드들 과는 달리 강렬한 향과 화려한 색을 강조하는가 하면, 반윤리적 사회문제 해결에 적극 동참하는 등 러쉬만의 특별한 오감 브랜딩을 이어가고 있습니다.",6,https://dummyimage.com/1920x1440/001440/fff
14,3,LE LABO,15000,KOREAN,170 x 240 mm,132,2018-04-09,979-11-6036-034-9,"2006년 프랑스 출신의 두 창립자 에디 로시와 파브리스 페노가 뉴욕 놀리타에서 시작한 르 라보는 ‘실험실’이라는 단어를 그대로 따온 이름처럼 조향사의 연구실에서 일어나는 다양한 일에서 영감을 얻어 만든 컬트 향수 브랜드이니다. 원재료에 대한 존중을 기반으로 ‘상탈33’, ‘로즈 31’과 같이 독자적 매력을 지닌 향 제품을 선보이는가 하면, 매장에서 직접 향수를 블랜딩해 병입하는 과정을 진행하거나 제품 라벨에 제조 날짜와 장소, 고객의 이름이나 원하는 메시지를 적을 수 있도록 하는 등 향수를 둘런싼 경험에 주목해 고유한 존재감을 드러내고 있습니다.",65,https://dummyimage.com/1920x1440/001440/fff
15,3,DIPTYQUE,13000,KOREAN,170 x 240 mm,132,2014-10-27,978-89-98415-61-7,"딥티크는 예술가 출신의 세 창립자 이브 쿠에슬랑, 데스먼드 녹스 리트, 크리스티안 고트로가 1961년 시작한 프랑스의 향기 브랜드입니다. 딥티크는 기억을 환기시키는 독창적 향기와 디자인으로 니치와 럭셔리의 경계를 허문 대표적 향기 브랜드로 자리매김했습니다.",31,https://dummyimage.com/1920x1440/001440/fff
16,4,IKEA,16000,KOREAN,170 x 240 mm,161,2018-07-27,979-11-6036-029-5,"이케아(스웨덴어: IKEA)[ɪ²keːa]는 스웨덴의 가구 제조 기업이다. 이케아는 스칸디나비아 특유의 디자인과 저렴한 가격, 그리고 무엇보다 소비자가 직접 운반하고 제작해 조립과 배송 비용이 없는 DIY 제품 판매로 발전하고 유명해진 기업이다. 이케아는 1943년 잉바르 캄프라드가 스웨덴에서 만들었으며 현재는 네덜란드에 등록된 재단이 운영하고 있다. 1953년 스웨덴 알름훌트에서 첫번째 전시 매장이 열렸다. 'IKEA'라는 이름은 설립자 이름 잉바르 캄프라드(Ingvar Kamprad), 그의 가족 농장 이름인 엘름타리드 (Elmtaryd), 그리고 고향인 아군나리드 (Agunnaryd)의 약자를 모아 만든 것이다.",63,https://dummyimage.com/1920x1440/001440/fff
17,4,WEWORK,14000,KOREAN,170 x 240 mm,143,2016-03-30,979-11-6036-007-3,건물의 공간을 나눠 쓰는 콘셉트로 2010년 뉴욕에서 시작한 워크스페이스 앤 커뮤니티 서비스 업체 위워크는 현재 39개 도시 8만여 명의 멤버를 보유할 만큼 빠르게 성장하며 공유 오피스 비즈니스의 아이콘으로 떠올랐습니다. 위워크는 공간을 제공하는 동시에 일하는 방식을 제안함으로써 입주 멤버 간의 커뮤니티를 강조하고 있습니다.,52,https://dummyimage.com/1920x1440/001440/fff
18,4,LEGO,15000,KOREAN,170 x 240 mm,158,2013-03-12,978-89-98415-12-9,"전 세계인의 장난감 레고는 1932년 덴마크 빌룬 지역의 목공소에서 나무 장난감을 만드는 회사로 시작했습니다. 레고에 숨은 과학적 원리는 사용자들이 더욱 다양한 방식으로 제품을 사용하게 하고, 성별과 연령, 지식의 많고 적음과 관계없이 폭넓은 사랑을 받게 만든 원동력입니다.",13,https://dummyimage.com/1920x1440/001440/fff
19,2,MUJI,15000,KOREAN,170 x 240 mm,150,2017-04-08,979-11-6036-009-7,할인 유통업체 세이유 산하 프로젝트로 기획된 무인양품(영문명: MUJI)은 ‘무인(無印: 도장이 찍혀 있지 않은)’과 ‘양품(良品: 좋은 품질)’이라는 이름에 브랜드 철학을 담아 1980년 그 모습을 드러냅니다. 최초 40여 종을 선보인 이래 현재 7000여 품목을 취급하는 무인양품은 주택 사업으로 관심을 넓히는 등 브랜드가 생활의 미의식을 판매할 수 있음을 증명하고 있습니다.,53,https://dummyimage.com/1920x1440/001440/fff
20,4,MUJI,15000,KOREAN,170 x 240 mm,150,2017-09-23,979-11-6036-009-7,할인 유통업체 세이유 산하 프로젝트로 기획된 무인양품(영문명: MUJI)은 ‘무인(無印: 도장이 찍혀 있지 않은)’과 ‘양품(良品: 좋은 품질)’이라는 이름에 브랜드 철학을 담아 1980년 그 모습을 드러냅니다. 최초 40여 종을 선보인 이래 현재 7000여 품목을 취급하는 무인양품은 주택 사업으로 관심을 넓히는 등 브랜드가 생활의 미의식을 판매할 수 있음을 증명하고 있습니다.,53,https://dummyimage.com/1920x1440/001440/fff
21,4,SUUNTO,13000,KOREAN,170 x 240 mm,160,2014-09-12,978-89-98415-43-3,"핀란드의 기능성 스포츠 시계 브랜드 순토는 1936년 탐험가 투오마스 보흘로넨이 만든 액체형 나침반에서 시작되었습니다. 수중용 나침반, 산업용 측고계와 항해용 나침반을 거쳐 세계 최초의 다이빙용 수중 컴퓨터를 개발한 순토는 아웃도어와 라이프스타일 분야로 지평을 넓히며 진정한 프리미엄 브랜드로 거듭나고 있습니다.",25,https://dummyimage.com/1920x1440/001440/fff
22,4,USM,18000,KOREAN,170 x 240 mm,140,2021-04-07,979-11-6036-126-1,"USM은 1885년 울리히 셰러가 스위스 베른 주의 작은 마을 뮌징겐에서 시작한 브랜드입니다. 처음에는 자물쇠와 경첩을 생산하는 금속가공 전문 회사였지만, 1961년 3대손 파울 셰러가 경영에 합류하면서 오늘날과 같은 세계적 모듈 가구 브랜드로 발돋움합니다. 1965년 파울 셰러가 기능주의 건축가인 프리츠 할러와 합작해 만든 모듈 가구인 USM 할러 시스템은 ‘형태는 기능을 따른다’라는 기능주의 미학을 실천하며, 불변의 모던함을 선보이는 지속 가능성의 정수로 인정받고 있습니다.",86,https://dummyimage.com/1920x1440/001440/fff
23,4,HELVETICA,13000,KOREAN,170 x 240 mm,124,2015-03-27,978-89-98415-71-6,헬베티카는 1957년 스위스 뮌첸슈타인의 하스 활자 주조소에서 탄생했습니다. 1950년대 전 사회적으로 요구된 실용성을 반영해 장식적이기보다는 기능에 충실한 서체로 만들어져 자국의 공공 디자인부터 오늘날 애플 제품의 디지털 인터페이스에까지 폭넓게 사용됩니다. 이러한 상징성을 바탕으로 헬베티카는 서체를 넘어 디자인 아이콘이자 하나의 브랜드로 인식되고 있습니다.,35,https://dummyimage.com/1920x1440/001440/fff
24,4,LAMY,13000,KOREAN,170 x 240 mm,116,2021-03-11,978-89-98415-03-7,"독일의 대표 만년필 브랜드 라미는 1930년 오토스 만년필 생산 공장으로 시작해 1948년 독자 브랜드 ‘라미’를 설립했습니다. 이후 1966년 ‘모든 제품은 기능적이며 견고하고 아름다워야 한다’는 바우하우스의 정신을 구현한 라미2000을 발표하며 오늘날의 ‘라미’를 향해 본격적인 움직임을 시작하게 됩니다. 지금까지도 모든 제품을 외부의 디자이너와 협업하고, 독일 하이델부르크 시 본사 내 자체 생산을 고집하는 라미는 뛰어난 제품을 합 리적인 가격으로 제공함으로써 누구에게나 ‘잘 쓸 수 있는 디자인’을 제시하고 있습니다.",24,https://dummyimage.com/1920x1440/001440/fff
25,5,BLUE BOTTLE COFFEE,15000,KOREAN,170 x 240 mm,148,2018-12-12,979-11-6036-151-11,"블루보틀 커피는 미국 캘리포니아주 오클랜드에서 클라리넷 연주가 출신 제임스 프리먼이 2002년 설립한 스페셜티 커피 브랜드입니다. 프리먼은 파머스 마켓의 커피 카트에서 드립커피를 팔던 경험을 토대로 산지 특성을 살린 커피 맛과 고유의 호스피털리티, 여백이 있는 공간을 강조하며 브랜드만의 커피 문화를 공고히 형성했습니다. 커피 업계에서는 드물게 실리콘밸리의 벤처 투자자 및 기업으로부터 투자를 유치하면서 미국 내 지점 확장은 물론 도쿄, 서울 등의 도시로 저변을 넓히고 있습니다.",76,https://dummyimage.com/1920x1440/001440/fff
26,4,BLUE BOTTLE COFFEE,15000,KOREAN,170 x 240 mm,148,2018-12-12,979-11-6036-151-11,"블루보틀 커피는 미국 캘리포니아주 오클랜드에서 클라리넷 연주가 출신 제임스 프리먼이 2002년 설립한 스페셜티 커피 브랜드입니다. 프리먼은 파머스 마켓의 커피 카트에서 드립커피를 팔던 경험을 토대로 산지 특성을 살린 커피 맛과 고유의 호스피털리티, 여백이 있는 공간을 강조하며 브랜드만의 커피 문화를 공고히 형성했습니다. 커피 업계에서는 드물게 실리콘밸리의 벤처 투자자 및 기업으로부터 투자를 유치하면서 미국 내 지점 확장은 물론 도쿄, 서울 등의 도시로 저변을 넓히고 있습니다.",76,https://dummyimage.com/1920x1440/001440/fff
27,4,HANSA TOY,13000,KOREAN,170 x 240 mm,132,2014-04-28,979-11-6036-070-7,실물과 가장 흡사한 동물 인형을 만드는 한사토이는 1972년부터 호주에서 교육용 완구 회사를 운영하던 한스액슬렘에 의해 탄생했습니다. 1994년 필리핀에 새롭게 둥지를 틀고 섬세한 예술 감각과 표현력으로 소비자의 감성을 자극해온 한사토이는 현재 어린이용 장난감 이상의 쓰임새를 지닌 견고한 품질의 라이프스타일 오브제로 다양한 공간에서 활용되고 있습니다.,26,https://dummyimage.com/1920x1440/001440/fff
28,5,BURGERKING,14000,KOREAN,170 x 240 mm,146,2013-08-05,979-11-6036-151-5,"버거킹(영어: Burger King)은 레스토랑 브랜즈 인터내셔널이 운영하는 글로벌 패스트 푸드 업체로, 맥도날드, KFC하고 트로이카를 이루고 있다. 오스트레일리아에서는 '헝그리 잭스'라는 레스토랑 프랜차이즈를 두고 있다. 버거킹의 대표 햄버거 제품은 와퍼이다. 대한민국에는 두산그룹이 계열사인 에스알에스코리아(주)를 통해 브랜드를 운영하였으나 2012년 보고제이호펀드에게 1,100여억 원의 대금을 받고 버거킹 사업을 매각하였다. 이후 동년 11월 21일에 주식회사 비케이알을 신규 설립하여 상표 운영권이 이전되었다. 비케이알은 2013년 7월부터 기존의 직영점만 운영하는 체제에서 가맹점도 운영하는 체제로 변경했다. 보고펀드는 2016년 2월 19일 2,100억원에 홍콩계 사모펀드 어퍼너티에쿼티파트너스(AEP)에 매각했다. AEP는 2017년 10월 버거킹의 모기업인 '레스토랑브랜즈인터내셔널(RBI)'과 버거킹 재팬의 마스터 프랜차이즈 계약을 맺었다.[1] AEP가 인수하기 전에는 한국 롯데리아가 일본 버거킹을 운영하고 있었다.",7,https://dummyimage.com/1920x1440/001440/fff
29,5,MCDONALD,17000,KOREAN,170 x 240 mm,174,2010-03-05,979-11-6036-153-9,"맥도날드는 미국의 세계적인 햄버거 패스트푸드 체인점이다. 전 세계 약 37,000개 매장에서 하루에 약 6,000만 명의 고객들에게 햄버거, 감자튀김, 콜라, 아침 메뉴, 커피, 간식 등을 제공하고 있다. 최근의 웰빙 경향을 반영해 샐러드, 과일 등의 식물성, 건강식을 메뉴로 제공하고 있기도 하다.[2] 맥도날드를 세운 레이 크록의 천재성은 많은 사람들이 빠른 음식 서비스, 저렴한 가격, 맛있는 음식, 그리고 맛의 일관성을 원한다는 것을 알아차린 데에 있다. 맥도날드가 이러한 모습으로 나타나기 이전까지는 아무도 그러한 요소들을 제공하지 못했다.",4,https://dummyimage.com/1920x1440/001440/fff
30,5,COCACOLA,18000,KOREAN,170 x 240 mm,186,2018-09-04,979-11-6036-102-9,"약사 존 펨버턴이 1886년에 조지아주 애틀랜타에서 개발한 코카콜라로 잘 알려져 있다. 코카콜라 제조 방식과 상표는 1889년에 에이서 캔들러가 사들여 1892년에 세운 것으로 시작되었다. 코카콜라의 선구적 지도자인 로베르토 고이주에타가 1997년에 폐암으로 사망한 후, 회사는 분란에 휩싸여 왔다. 더글러스 아이베스터가 즉시 고이주에타의 후임으로 임명되었지만, 2년 후 물러나야만 했다. 2월에 그의 후임자인 더글러스 대프트는 2004년 말에 퇴임하겠다고 갑작스럽게 선언했다. 코카콜라는 질레트의 사장인 제임스 킬츠를 CEO로 영입하고자 했지만, 당사자의 의견은 알지 못했다.",19,https://dummyimage.com/1920x1440/001440/fff
31,5,SAN PELLEGRINO,13000,KOREAN,170 x 240 mm,132,2015-09-24,978-89-98415-81-5,600여 년 전 이탈리아 돌로미티 산맥 근처 작은 마을에서 시작한 산펠레그리노는 지역 광천수에 천연 탄산을 주입해 최초로 병입 판매하며 다이닝 워터라는 새로운 지평을 열었습니다. 그 후 미식 분야를 아우르는 일관되고 섬세한 마케팅 활동을 통해 식문화의 아이콘으로서 위치를 공고히 하는가 하면 좀 더 젊고 활기찬 감성의 스파클링 과일 음료를 출시하며 탄산수 시장을 적극적으로 개척하고 있습니다.,40,https://dummyimage.com/1920x1440/001440/fff
32,5,HAAGEN-DAZS,13000,KOREAN,170 x 240 mm,128,2016-05-27,979-11-6036-151-16,북유럽 언어를 연상케 하는 네이밍 전략으로 숱하게 회자된 하겐다즈는 1961년 뉴욕 브롱스에서 시작한 프리미엄 아이스크림 브랜드입니다. 눈으로 보이는 화려함 대신 크리미한 질감으로 맛의 깊이를 더해 유수 카페와 레스토랑은 물론 항공사와 호텔에서 디저트 메뉴로 사용하는가 하면 관능과 쾌락이라는 아이스크림의 속성을 마케팅으로 풀어내 어른들의 ‘길티 플레저’라는 역할로 입지를 공고히 하고 있습니다.,47,https://dummyimage.com/1920x1440/001440/fff
33,5,GUINNESS,13000,KOREAN,170 x 240 mm,128,2013-10-02,978-89-98415-28-0,"기네스는 창립자 아서 기네스가 250여 년 전 아일랜드 더블린의 폐공장을 양조장으로 임대하며 시작했습니다. 탄산이 많고 청량감이 강한 라거 계열의 맥주가 전 세계 대중의 기호를 사로잡은 가운데서도, 깊은 맛을 고수하는 에일 계열 맥주로는 거의 유일하게 글 로벌 주류 브랜드로 성장해왔습니다. 파생 사업을 확장해가는 경쟁사와 달리 기네스는 언제 어디서나 최상의 맛을 유지하기 위한 기술을 끊임없이 개발하는 등 완벽한 한잔을 만들기 위한 노력을 이어가고 있습니다.",20,https://dummyimage.com/1920x1440/001440/fff
